2003,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,342,"4,216",162,149,5,489,"5,363"
February,541,"5,711",179,77,18,664,"7,190"
March,407,"4,171",423,93,4,531,"5,629"
April,502,"4,352",188,202,3,586,"5,833"
May,377,"4,340",313,384,13,508,"5,935"
June,371,"2,646",250,154,24,319,"3,764"
July,611,"4,265",236,215,7,478,"5,812"
August,537,"4,337",158,302,5,398,"5,737"
September,293,"3,045",151,325,5,380,"4,199"
October,286,"4,212",246,292,5,297,"5,338"
November,319,"4,606",242,140,3,485,"5,795"
December,902,"5,915",162,212,4,365,"7,560"
Total,"5,488","51,816","2,710","2,545",96,"5,500","68,155"
