2004,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"6,638","10,653","6,190",586,"1,205","3,777","29,049"
February,"7,965","15,701","5,478",640,252,"20,442","50,478"
March,"9,482","13,870","7,512",672,409,"3,812","35,757"
April,"10,262","15,233","7,070","1,210",304,"6,177","40,256"
May,"8,132","9,914","7,505",905,221,"2,976","29,653"
June,"9,430","9,238","6,858","1,271",254,"3,483","30,534"
July,"14,097","15,852","6,527","1,252",334,"5,456","43,518"
August,"12,498","15,470","6,023","1,420","1,592","4,164","41,167"
September,"6,833","9,433","6,258",766,904,"3,441","27,635"
October,"7,479","9,948","8,052",717,415,"4,470","31,081"
November,"8,526","12,331","8,160",867,324,"4,232","34,440"
December,"19,324","17,839","4,860","1,183",190,"5,591","48,987"
Total,"120,666","155,482","80,493","11,489","6,404","68,021","442,555"
