2009,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"6,234","12,203","7,198",208,"1,102","3,675","30,620"
February,"8,351","28,375","5,107",356,171,"3,725","46,085"
March,"6,448","12,877","8,746",283,185,"3,466","32,005"
April,"14,164","8,092","8,529",492,188,"3,176","34,641"
May,"7,905","11,645","8,523",583,268,"3,125","32,048"
June,"7,857","13,520","8,133",525,186,"2,905","33,126"
July,"9,802","21,440","7,192",826,195,"3,995","43,450"
August,"8,274","16,457","5,793",597,583,"3,408","35,112"
September,"6,074","9,749","5,807",267,687,"2,858","25,442"
October,"5,693","12,134","6,970",383,149,"4,233","29,562"
November,"5,359","12,478","8,130",339,157,"3,335","29,798"
December,"12,589","25,316","6,163",540,75,"2,292","46,975"
Total,"98,750","184,286","86,291","5,399","3,946","40,193","418,864"
