2005,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"9,284","15,726","6,715",561,"1,316","10,901 ","44,503"
February,"10,346","15,615","5,693",678,323,"12,640 ","45,294"
March,"13,964","15,051","7,108",793,266,"6,317 ","43,498"
April,"12,196","10,855","7,473","1,028",459,"4,012 ","36,023"
May,"12,529","10,042","6,840","1,006",396,"4,381 ","35,194"
June,"11,463","9,840","6,961","1,244",233,"3,798 ","33,539"
July,"14,070","16,457","7,366","1,728",320,"5,365 ","45,306"
August,"11,269","14,592","7,098","1,455",744,"4,644 ","39,802"
September,"6,838","8,571","7,074",678,942,"4,185 ","28,287"
October,"8,300","9,781","8,161",736,363,"4,176 ","31,517"
November,"8,385","10,835","7,920","1,023",336,"4,874 ","33,372"
December,"17,175","16,882","4,971","1,351",234,"6,244 ","46,855"
Total,"135,819","154,246","83,379","12,280","5,931","71,536","463,190"
