,Private Home,Hotel,Guest House,Other,Total
January,"37,741","7,245",867,725,"46,577"
February,"26,225","7,275",796,703,"34,999"
March,"28,146","10,005","1,447","1,183","40,780"
April,"26,152","9,645","1,204",733,"37,733"
May,27606,6290,760,"1,388","36,044"
June,22493,6688,547,274,"30,002"
July,38035,7896,964,"1,053","47,948"
August,30016,5629,534,235,"36,414"
September,19220,6873,525,282,"26,900"
October,"16,570","8,076",969,"5,365","30,980"
November,"17,071","6,278",529,"5,894","29,772"
December,"22,725","5,019",628,"10,758","39,130"
YTD Total ,"311,999","86,919","9,770","28,592","437,279"
