,Private Home,Hotel,Guest House,Other,Total
January,"31,261","10,622","1,561","1,059","44,503"
February,"32,506","10,034","1,572","1,182","45,294"
March,"29,435","10,814","2,018","1,231","43,498"
April,"24,129","9,493","1,457",944,"36,023"
May,"25,251","8,053","1,236",654,"35,194"
June,"23,410","8,178","1,200",751,"33,539"
July,"32,964","9,269","2,081",993,"45,307"
August,"27,814","8,843","2,237",908,"39,802"
September,"17,698","8,637","1,257",695,"28,287"
October,"18,728","10,149","1,859",782,"31,517"
November,"20,045","10,605","1,812",911,"33,372"
December,"35,119","8,674","1,899","1,164","46,855"
Total ,"318,359","113,369","20,189","11,274","463,191"
