,Private Home,Hotel,Guest House,Other,Total
January,"15,567","5,372",525,"9,156","30,620"
February,"21,298","7,274",733,"16,780","46,085"
March,"13,879","7,518",854,"9,754","32,005"
April,"17,836","5,903",732,"10,170","34,641"
May,16409,6481,593,"8,565","32,048"
June,17617,5897,436,"9,176","33,126"
July,22700,6802,507,"13,441","43,450"
August,18102,5977,539,"10,494","35,112"
September,11539,5872,340,"7,691","25,442"
October,"13,839","6,848",491,"8,384","29,562"
November,"13,243","7,684",569,"8,302","29,798"
December,,,,,n/a
YTD Total ,"182,029","71,628","6,319","111,913","371,889"
