2009,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,321,"2,370",77,44,23,133,"2,968"
February,415,"3,100",81,64,3,168,"3,831"
March,331,"2,527",281,48,3,77,"3,267"
April,430,"2,128",111,68,,128,"2,865"
May,417,"2,120",343,126,3,113,"3,122"
June,279,"1,323",284,34,26,220,"2,166"
July,482,"1,801",76,49,3,154,"2,565"
August,324,"1,322",98,36,3,110,"1,893"
September,307,"1,220",43,62,4,102,"1,738"
October,168,"1,580",94,3,29,60,"1,934"
November,115,"1,750",96,22,2,66,"2,051"
December,,,,,,,n/a
Total,"3,589","21,241","1,584",556,99,"1,331","28,400"
