2004,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,369,"5,020",289,142,20,441,"6,281"
February,471,"6,474",176,159,8,660,"7,948"
March,527,"6,487",215,176,10,644,"8,059"
April,395,"5,228",364,290,6,437,"6,720"
May,443,"3,811",350,332,8,578,"5,522"
June,495,"2,890",318,234,49,426,"4,412"
July,713,"4,977",200,226,12,706,"6,834"
August,578,"4,366",260,262,19,482,"5,967"
September,323,"3,864",253,256,15,407,"5,118"
October,305,"4,298",251,252,18,392,"5,516"
November,378,"5,545",365,258,5,579,"7,130"
December,980,"7,148",180,232,7,675,"9,222"
Total,"5,977","60,108","3,221","2,819",177,"6,427","78,729"
