,Private Home,Hotel,Guest House,Other,Total
January,"18,368","8,508","1,167","1,006","29,049"
February,"37,230","10,642","1,590","1,016","50,478"
March,"21,694","10,923","1,896","1,244","35,757"
April,"27,125","10,004","2,052","1,075","40,256"
May,"18,625","8,994","1,290",744,"29,653"
June,"21,882","7,108","1,049",495,"30,534"
July,"32,809","7,980","1,834",895,"43,518"
August,"30,335","7,704","2,219",909,"41,167"
September,"17,469","8,219","1,285",662,"27,635"
October,"18,692","9,774","1,788",827,"31,081"
November,"20,578","10,941","2,011",910,"34,440"
December,"37,811","8,370","1,813",993,"48,987"
Total ,"302,618","109,167","19,994","10,776","442,555"
