,Private Home,Hotel,Guest House,Other,Total
January,"2,571","5,698",570,755,"9,594"
February,"2,384","5,325",654,918,"9,281"
March,"3,312","5,207",664,941,"10,124"
April,"1,292","4,297",449,626,"6,664"
May,"1,552","3,171",288,464,"5,475"
June,"1,620","2,896",400,499,"5,415"
July,"2,735","3,881",513,645,"7,774"
August,"2,018","3,396",431,608,"6,453"
September,"1,279","2,687",366,519,"4,851"
October,"1,170","3,280",356,423,"5,229"
November,"1,399","3,845",526,625,"6,395"
December,"3,155","4,338",679,"1,035","9,207"
Total ,"24,487","48,021","5,896","8,058","86,462"
