,Private Home,Hotel,Guest House,Other,Total
January,"20,067","8,951","1,462","1,002","31,481"
February,"38,698","12,189","1,881","1,535","54,302"
March,"21,876","10,734","1,863","1,198","35,670"
April,"26,460","9,962","1,955","1,234","39,610"
May,"23,620","11,389","1,820",950,"37,779"
June,"23,973","8,062","1,192",722,"33,948"
July,"32,303","10,427","1,619","1,022","45,372"
August,"29,842","8,618","1,940","1,058","41,457"
September,"18,693","8,405","1,749","1,030","29,877"
October,"19,558","9,364","1,560",940,"31,421"
November,"18,623","9,904","1,698",995,"31,220"
December,"37,267","8,526","1,800","1,322","48,914"
Total ,"310,977","116,529","20,538","13,007","461,051"
