2008,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"9,319","24,022","6,269",402,"1,372","5,194","46,577"
February,"7,611","16,406","6,153",353,271,"4,206","34,999"
March,"9,037","18,779","7,513",424,366,"4,663","40,780"
April,"7,949","16,191","7,741",508,350,"4,995","37,733"
May,"7,264","11,226","7,367",566,389,"9,232","36,044"
June,"6,807","13,379","6,063",595,200,"2,958","30,002"
July,"10,549","23,382","6,816","1,301",274,"5,626","47,948"
August,"8,446","16,279","5,717",923,762,"4,287","36,414"
September,"6,409","9,318","7,232",351,658,"2,932","26,900"
October,"7,695","10,429","8,657",474,252,"3,473","30,980"
November,"7,240","10,296","8,559",439,163,"3,015","29,772"
December,"10,290","19,131","5,912",438,100,"3,269","39,130"
Total,"98,616","188,838","83,998","6,774","5,156","53,848","437,279"
