2005,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,642,"7,745",189,163,45,813,"9,597"
February,606,"7,414",226,229,15,791,"9,281"
March,"1,136","7,234",197,182,10,"1,365","10,124"
April,386,"4,903",456,363,13,543,"6,664"
May,512,"3,918",219,349,19,458,"5,475"
June,494,"3,639",316,318,9,639,"5,415"
July,780,"5,800",309,293,9,585,"7,776"
August,570,"4,634",375,289,12,573,"6,453"
September,366,"3,545",263,242,5,430,"4,851"
October,305,"4,047",251,267,1,358,"5,229"
November,354,"4,996",225,291,8,521,"6,395"
December,942,"6,955",243,238,49,780,"9,207"
Total,"7,093","64,830","3,269","3,224",195,"7,856","86,467"
