2008,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,291,"2,130",24,7,1,748,"3,201"
February,148,"1,340",42,3,2,433,"1,968"
March,626,"4,474",63,13,1,927,"6,104"
April,"1,084","3,976",11,17,1,228,"5,317"
May,223,"3,840",31,19,12,263,"4,388"
June,444,"1,759",159,100,10,130,"2,602"
July,414,"1,867",86,99,5,94,"2,565"
August,283,"1,250",179,61,8,965,"2,746"
September,271,"1,378",66,91,1,101,"1,908"
October,117,"1,205",117,46,3,95,"1,583"
November,313,"1,764",177,57,17,19,"2,347"
December,626,"2,248",60,19,2,97,"3,052"
Total,"4,840","27,231","1,015",532,63,"4,100","37,781"
