2006,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"7,422","9,912","7,369",487,"1,500","4,793","31,481"
February,"8,602","18,489","6,112",686,221,"20,193","54,302"
March,"9,019","12,165","8,186",634,369,"5,298","35,670"
April,"11,092","13,807","7,096","1,455",321,"5,841","39,610"
May,"9,366","11,169","8,847","1,563",294,"6,542","37,779"
June,"10,330","10,131","7,330","1,426",232,"4,501","33,948"
July,"13,745","15,440","7,943","1,668",324,"6,252","45,372"
August,"12,624","14,099","6,387","1,703",790,"5,855","41,457"
September,"7,184","7,791","7,509",704,822,"5,867","29,877"
October,"8,015","8,928","7,868",725,351,"5,536","31,421"
November,"7,289","10,378","7,295","1,044",219,"4,996","31,220"
December,"18,363","17,564","4,818","1,341",149,"6,680","48,914"
Total,"123,048","149,871","86,757","13,434","5,588","82,352","461,051"
