,Private Home,Hotel,Guest House,Other,Total
January,958,100,36,"2,107","3,201"
February,548,69,18,"1,333","1,968"
March,745,68,20,"5,271","6,104"
April,400,39,19,"4,859","5,317"
May,431,91,26,"3,840","4,388"
June,883,"1,112",105,502,"2,602"
July,858,"1,167",122,418,"2,565"
August,794,751,89,"1,112","2,746"
September,443,930,76,459,"1,908"
October,308,725,68,482,"1,583"
November,667,"1,180",113,387,"2,347"
December,694,"1,206",144,"1,008","3,052"
YTD Total ,"7,729","7,438",836,"21,778","37,781"
