2007,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"7,717","11,439","7,240",599,"1,398","5,491","33,881"
February,"7,917","15,380","5,250",598,222,"18,005","47,372"
March,"9,106","12,515","6,373",538,329,"6,003","34,862"
April,"8,615","14,529","6,349",885,296,"5,390","36,063"
May,"8,572","12,015","8,122",811,354,"4,613","34,487"
June,"9,776","13,309","7,127",832,243,"4,012","35,298"
July,"10,504","19,208","6,414","1,215",266,"4,917","42,524"
August,"9,472","15,996","5,897",980,898,"5,550","38,791"
September,"6,866","9,984","7,011",560,860,"3,861","29,140"
October,"8,197","12,306","7,665",467,265,"3,096","31,994"
November,"8,345","15,411","7,170",608,237,"4,420","36,190"
December,"13,864","25,845","4,643",845,156,"3,499","48,850"
Total,"108,948","177,935","79,258","8,936","5,523","68,854","449,452"
