,Private Home,Hotel,Guest House,Other,Total
2002,"270,941","87,435","17,491","8,347","384,214"
2003,"273,523","102,323","21,738","11,485","409,069"
2004,"302,618","109,167","19,994","10,776","442,555"
2005,"318,359","113,369","20,189","11,274","463,191"
2006,"310,977","116,529","20,538","13,007","461,051"
2007,"322,768","101,551","13,894","11,241","449,453"
2008,"311,633","87,685","9,770","28,192","437,279"
