2002,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"6,280","9,396","5,154",461,"1,564","7,480","30,335"
February,"6,453","13,047","4,644",549,269,"15,231","40,193"
March,"8,248","11,383","5,804",641,294,"5,415","31,785"
April,"6,607","9,037","6,217",636,483,"4,938","27,918"
May,"7,163","8,927","6,397",837,369,"5,734","29,427"
June,"8,047","9,176","5,765",991,327,"4,356","28,662"
July,"12,441","14,086","6,316","1,370",353,"6,495","41,061"
August,"10,602","14,394","4,883","1,284",798,"5,528","37,489"
September,"5,227","7,169","5,026",562,677,"4,171","22,832"
October,"7,116","8,983","6,093",639,262,"4,350","27,443"
November,"7,071","10,501","5,958",661,"1,693","2,341","28,224"
December,"15,555","13,815","3,956",969,"1,553","2,995","38,843"
Total,"100,810","129,914","66,213","9,600","8,642","69,034","384,212"
