,Private Home,Hotel,Guest House,Other,Total
2002,"11,695","30,895","3,784","5,454","51,828"
2003,"15,562","40,347","5,073","7,173","68,155"
2004,"20,770","45,684","5,001","7,273","78,728"
2005,"24,487","48,021","5,896","8,058","86,462"
2006,"26,550","42,359","6,171","8,380","83,460"
2007,"17,989","34,104","4,488","6,419","63,000"
2008,"7,729","7,438",836,"21,778","37,781"
