,Private Home,Hotel,Guest House,Other,Total
January,634,"1,290",146,898,"2,968"
February,"1,105","1,506",226,994,"3,831"
March,"1,128","1,340",178,621,"3,267"
April,"1,018","1,124",133,590,"2,865"
May,847,"1,550",131,594,"3,122"
June,519,880,30,737,"2,166"
July,"1,175",842,83,465,"2,565"
August,964,571,94,264,"1,893"
September,576,746,57,359,"1,738"
October,693,840,92,309,"1,934"
November,414,"1,029",96,512,"2,051"
December,,,,,n/a
YTD Total ,"9,073","11,718","1,266","6,343","28,400"
