2007,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,381,"6,214",238,132,54,606,"7,625"
February,485,"6,846",330,180,13,"1,077","8,931"
March,391,"4,683",120,124,6,416,"5,740"
April,424,"3,928",297,160,4,633,"5,446"
May,269,"3,299",147,280,6,264,"4,265"
June,299,"2,404",114,135,25,220,"3,197"
July,339,"3,706",164,202,8,262,"4,681"
August,338,"2,800",105,144,3,354,"3,744"
September,300,"2,761",254,172,19,218,"3,724"
October,263,"3,465",156,133,4,155,"4,176"
November,274,"4,343",149,144,8,194,"5,112"
December,585,"5,271",109,180,10,204,"6,359"
Total,"4,348","49,720","2,183","1,986",160,"4,603","63,000"
