2006,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,401,"4,976",156,125,21,658,"6,337"
February,566,"8,943",268,350,17,"1,145","11,289"
March,511,"6,386",332,181,6,755,"8,171"
April,735,"5,814",236,325,8,763,"7,881"
May,466,"4,311",349,574,13,531,"6,244"
June,522,"3,285",196,324,11,480,"4,818"
July,948,"5,417",237,217,8,614,"7,441"
August,644,"4,550",246,265,7,460,"6,172"
September,667,"2,825",593,213,21,717,"5,036"
October,410,"3,675",391,230,9,456,"5,171"
November,366,"4,808",171,248,10,476,"6,079"
December,999,"6,795",154,237,4,632,"8,821"
Total,"7,235","61,785","3,329","3,289",135,"7,687","83,460"
